t,[s]	T,[C]	m,[g]
   0	80.00	185.74
  30	78.56	185.50
  60	77.30	185.27
  90	76.19	185.05
 120	75.20	184.85
 150	74.29	184.66
 180	73.40	184.48
 210	72.48	184.30
 240	71.60	184.13
 270	70.82	183.96
 300	70.00	183.81
 330	69.07	183.67
 360	68.40	183.53
 390	68.22	183.39
 420	67.90	183.26
 450	66.84	183.14
 480	65.60	183.02
 510	64.81	182.90
 540	64.30	182.79
 570	63.78	182.68
 600	63.20	182.58
 630	62.59	182.48
 660	62.00	182.39
 690	61.45	182.29
 720	60.90	182.20
 750	60.31	182.11
 780	59.70	182.02
 810	59.11	181.94
 840	58.60	181.86
 870	58.18	181.78
 900	57.80	181.71
 930	57.38	181.63
 960	56.90	181.56
 990	56.38	181.49
1020	55.90	181.42
1050	55.54	181.35
1080	55.20	181.28
1110	54.77	181.21
1140	54.30	181.15
1170	53.86	181.09
1200	53.50	181.03
1230	53.21	180.98
1260	52.90	180.92
1290	52.47	180.86
1320	52.00	180.80
1350	51.57	180.75
1380	51.20	180.70
1410	50.89	180.65
1440	50.60	180.60
1470	50.27	180.55
1500	49.90	180.50
1530	49.53	180.46
1560	49.20	180.41
1590	48.95	180.36
1620	48.70	180.31
1650	48.40	180.27
1680	48.10	180.23
1710	47.85	180.19
1740	47.60	180.14
1770	47.30	180.10
1800	46.90	180.06
