t,[s]	T,[C]	m,[g]
0	80.00	195.50
30	78.70	195.25
60	77.70	195.00
90	76.40	194.80
120	75.20	194.63
150	74.40	194.40
180	73.40	194.22
210	72.80	194.00
240	71.60	193.70
270	70.80	193.65
300	70.00	193.53
330	69.40	193.41
360	68.50	193.20
390	67.60	193.05
420	67.10	192.94
450	66.20	192.83
480	65.60	192.70
510	64.90	192.57
540	64.30	192.45
570	63.40	192.30
600	62.80	192.25
630	62.40	192.12
660	61.70	192.07
690	61.10	191.90
720	60.70	191.80
750	60.00	191.74
780	59.60	191.63
810	59.20	191.56
840	58.80	191.48
870	58.00	191.39
900	57.50	191.31
930	56.97	191.23
960	56.60	191.15
990	56.28	191.07
1020	55.90	191.00
1050	55.40	190.93
1080	54.90	190.86
1110	54.49	190.79
1140	54.10	190.73
1170	53.64	190.66
1200	53.20	190.60
1230	52.88	190.54
1260	52.50	190.49
1290	51.93	190.43
1320	51.40	190.37
1350	51.16	190.31
1380	51.00	190.26
1410	50.69	190.20
1440	50.30	190.15
1470	49.94	190.10
1500	49.60	190.05
1530	49.23	190.01
1560	48.90	189.96
1590	48.64	189.90
1620	48.40	189.85
1650	48.10	189.81
1680	47.80	189.77
1710	47.54	189.73
1740	47.30	189.68
1770	47.01	189.64
1800	46.60	189.60


