t,[s]	T,[C]	m,[g]
   0	79.99	190.59
  30	78.75	190.46
  60	77.97	190.14
  90	76.71	189.95
 120	75.70	189.50
 150	74.94	189.37
 180	74.06	189.35
 210	73.03	189.10
 240	72.09	188.94
 270	71.36	188.86
 300	70.70	188.70
 330	69.86	188.55
 360	69.02	188.40
 390	68.39	188.26
 420	67.77	188.12
 450	66.97	187.95
 480	66.13	187.80
 510	65.46	187.69
 540	64.88	187.60
 570	64.26	187.50
 600	63.62	187.40
 630	63.01	187.30
 660	62.40	187.20
 690	61.79	187.10
 720	61.23	187.01
 750	60.78	186.90
 780	60.32	186.80
 810	59.75	186.71
 840	59.16	186.61
 870	58.63	186.50
 900	58.12	186.40
 930	57.57	186.34
 960	57.09	186.30
 990	56.74	186.26
1020	56.41	186.20
1050	55.97	186.10
1080	55.50	186.00
1110	55.10	185.94
1140	54.71	185.90
1170	54.27	185.85
1200	53.80	185.80
1230	53.38	185.75
1260	53.02	185.70
1290	52.72	185.65
1320	52.41	185.60
1350	52.06	185.55
1380	51.69	185.50
1410	51.35	185.46
1440	51.01	185.40
1470	50.64	185.29
1500	50.29	185.20
1530	50.00	185.19
1560	49.71	185.20
1590	49.37	185.16
1620	48.99	185.10
1650	48.61	185.05
1680	48.30	185.00
1710	48.08	184.95
1740	47.90	184.90
1770	47.66	184.85
1800	47.28	184.80
