t,[s]	T,[C]	m,[g]
   0	80.00	179.50
  30	78.20	179.30
  60	77.27	178.99
  90	76.31	178.82
 120	75.61	178.63
 150	74.53	178.42
 180	73.27	178.31
 210	72.52	178.14
 240	71.54	177.92
 270	70.13	177.72
 300	69.61	177.60
 330	68.90	177.50
 360	67.96	177.31
 390	67.12	177.20
 420	66.49	177.12
 450	65.73	176.93
 480	64.97	176.81
 510	64.30	176.71
 540	63.62	176.60
 570	62.89	176.51
 600	62.24	176.41
 630	61.65	176.31
 660	61.19	176.21
 690	60.33	176.10
 720	59.72	176.00
 750	59.26	175.92
 780	58.75	175.80
 810	58.20	175.81
 840	57.43	175.61
 870	57.23	175.60
 900	56.64	175.51
 930	56.15	175.40
 960	55.65	175.40
 990	55.22	175.31
1020	54.86	175.25
1050	54.45	175.21
1080	53.93	175.10
1110	53.53	175.10
1140	53.18	175.01
1170	52.54	175.00
1200	52.53	174.91
1230	51.71	174.80
1260	51.32	174.81
1290	51.11	174.70
1320	50.73	174.70
1350	50.36	174.61
1380	50.03	174.60
1410	49.62	174.50
1440	49.34	174.50
1470	48.87	174.41
1500	48.43	174.40
1530	48.24	174.41
1560	47.90	174.32
1590	47.55	174.30
1620	47.23	174.21
1650	46.99	174.09
1680	46.82	174.01
1710	46.64	173.96
1740	46.36	173.94
1770	45.91	173.95
1800	45.20	174.00
