t,[s]	T,[C]	m,[g]
   0	80.00	538.05
  30	79.00	537.51
  60	78.20	537.02
  90	77.50	536.55
 120	76.70	536.11
 150	76.10	535.71
 180	75.40	535.28
 210	74.60	534.90
 240	74.10	534.55
 270	73.50	534.15
 300	72.60	533.72
 330	72.00	533.33
 360	71.60	533.12
 390	70.90	532.82
 420	70.40	532.49
 450	69.80	532.15
 480	69.20	531.88
 510	68.70	531.57
 540	68.30	531.31
 570	67.60	531.03
 600	67.10	530.79
 630	66.70	530.51
 660	66.20	530.27
 690	65.60	530.00
 720	65.30	529.79
 750	64.90	529.56
 780	64.30	529.31
 810	64.00	529.12
 840	63.40	528.91
 870	62.80	528.66
 900	62.60	528.48
 930	62.30	528.28
 960	61.90	528.11
 990	61.40	527.81
1020	61.00	527.72
1050	60.70	527.52
1080	60.30	527.36
1110	60.00	527.17
1140	59.50	527.00
1170	59.20	526.82
1200	59.00	526.62
1230	58.60	526.49
1260	58.30	526.33
1290	57.80	526.19
1320	57.60	526.03
1350	57.40	525.90
1380	57.10	525.75
1410	56.50	525.61
1440	55.70	525.46
1470	56.00	525.32
1500	55.70	525.18
1530	55.40	525.05
1560	55.10	524.92
1590	54.80	524.77
1620	54.40	524.66
1650	54.10	524.53
1680	53.90	524.42
1710	53.60	524.30
1740	53.40	524.19
1770	53.10	524.08
1800	52.80	523.96
