t,[s]	T,[C]	m,[g]
   0	79.75	575.38
  30	78.98	574.87
  60	78.30	574.46
  90	77.62	573.95
 120	77.02	573.57
 150	76.13	573.09
 180	75.48	572.73
 210	74.82	572.37
 240	74.24	571.95
 270	73.67	571.56
 300	72.94	571.22
 330	72.51	570.89
 360	71.96	570.55
 390	71.41	570.21
 420	70.75	569.92
 450	70.17	569.66
 480	69.78	569.30
 510	69.23	569.05
 540	68.64	568.84
 570	68.10	568.51
 600	67.65	568.28
 630	67.13	567.95
 660	66.68	567.74
 690	66.26	567.51
 720	65.72	567.29
 750	65.30	567.06
 780	64.86	566.84
 810	64.46	566.62
 840	64.15	566.39
 870	63.79	566.17
 900	63.30	565.95
 930	62.60	565.73
 960	62.11	565.49
 990	61.69	565.34
1020	61.26	565.16
1050	60.94	564.92
1080	60.74	564.81
1110	60.60	564.59
1140	60.27	564.47
1170	59.91	564.26
1200	59.51	564.12
1230	59.20	563.95
1260	58.88	563.77
1290	58.54	563.61
1320	58.31	563.52
1350	57.94	563.30
1380	57.49	563.19
1410	57.26	563.05
1440	56.94	562.85
1470	56.73	562.75
1500	56.39	562.65
1530	56.10	562.45
1560	55.86	562.31
1590	55.53	562.21
1620	55.20	562.09
1650	54.95	561.98
1680	54.66	561.87
1710	54.41	561.77
1740	54.12	561.59
1770	53.80	561.42
1800	53.31	561.41
